id,title,description,link,image_link,price,availability,condition,google_product_category,brand
MCM-1120,Wharton MCM Soft Ceramic - Art Texture,"Wharton MCM Art Texture — Engineered MCM flexible wall cladding, 600x300mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV and frost resistant. Artistic textured surface for avant-garde facades and statement interior walls. ISO 9001 certified factory-direct supply. Volume pricing on request.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1120.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1121,Wharton MCM Soft Ceramic - Metallic Finish,"Transform your space with Wharton MCM Metallic Finish — where sleek industrial sheen meets modern luxury. The Metallic Finish captures light with a subtle luster, creating an ultra-contemporary canvas for feature walls, retail interiors, and high-end facades. For architects and designers who demand material innovation.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1121.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1122,Wharton MCM Soft Ceramic - Rusty Iron,"Ready to elevate your project? Wharton MCM Rusty Iron combines eco-friendly MCM flexible cladding with authentic weathered metal aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. MOQ available — perfect for industrial-chic and loft-style designs.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1122.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1123,Wharton MCM Soft Ceramic - Industrial Cement,"Wharton MCM Industrial Cement — Engineered MCM flexible wall cladding, 600x300mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV-resistant. Raw cement texture ideal for loft, warehouse, and minimalist architecture. ISO 9001 factory-direct wholesale supply. Bulk container inquiries welcome.",https://www.whartonbuilding.com/,https://www.whartonstone.com/images/mcm1123.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1124,Wharton MCM Soft Ceramic - Exposed Concrete,"Transform your space with Wharton MCM Exposed Concrete — where brutalist authenticity meets refined luxury. The Exposed Concrete finish brings the raw honesty of architectural concrete to any wall surface, indoors or out. A statement of minimalist confidence for designers and architects who embrace material truth.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1124.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1125,Wharton MCM Soft Ceramic - Three-tenths wood,"Ready to elevate your project? Wharton MCM Three-tenths Wood combines eco-friendly MCM flexible cladding with understated fine-wood aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. Perfect for Scandinavian, Japandi, and warm-minimalist interiors.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1125.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1126,Wharton MCM Soft Ceramic - Cement Board,"Wharton MCM Cement Board — Engineered MCM flexible wall cladding, standard 600x300mm 1200x600mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV and frost resistant. Clean cement-board aesthetic for modern facades and interior cladding. ISO 9001 certified factory supply. Wholesale pricing on request.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1126.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1127,Wharton MCM Soft Ceramic - Wood pouring slab,"Transform your space with Wharton MCM Wood Pouring Slab — where fluid concrete meets warm wood grain in modern luxury. The Wood Pouring Slab finish captures the moment of material fusion, creating a one-of-a-kind tactile canvas for feature walls and creative facades. For architects who celebrate material contrast.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1127.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1128,Wharton MCM Soft Ceramic - Cement pouring slab,"Ready to elevate your project? Wharton MCM Cement Pouring Slab combines eco-friendly MCM flexible cladding with raw poured-concrete aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. MOQ available for project-based and wholesale buyers.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1128.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1129,Wharton MCM Soft Ceramic - Clear Water Plate,"Wharton MCM Clear Water Plate — Engineered MCM flexible wall cladding, 600x300mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV-resistant. Smooth water-flow texture ideal for contemporary facades and interior feature walls. ISO 9001 factory-direct supply. Inquire for volume discount.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1129.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1130,Wharton MCM Soft Ceramic - Bamboo Pattern,"Transform your space with Wharton MCM Bamboo Pattern — where organic bamboo texture meets modern luxury. The Bamboo Pattern finish brings the serenity of nature indoors, creating a biophilic design canvas for spas, resorts, and tranquil residential interiors. For architects and designers who bring the outside in.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1130.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1131,Wharton MCM Soft Ceramic - Flowing water stone,"Ready to elevate your project? Wharton MCM Flowing Water Stone combines eco-friendly MCM flexible stone cladding with cascading water-flow aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. Ideal for feature walls, water-feature surrounds, and Zen-inspired spaces.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1131.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1132,Wharton MCM Soft Ceramic - Clay Brick Wall,"Wharton MCM Clay Brick Wall — Engineered MCM flexible wall cladding, 600x300mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV and frost resistant. Authentic clay brick appearance with lightweight flexibility for facades and interior accent walls. ISO 9001 certified factory supply. Wholesale container pricing available.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1132.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1134,Wharton MCM Soft Ceramic - Banana leaf,"Transform your space with Wharton MCM Banana Leaf — where tropical foliage texture meets modern luxury. The Banana Leaf finish captures the lush vibrancy of the tropics, creating an exotic design statement for feature walls, hospitality interiors, and resort architecture. For designers who bring paradise indoors.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1134.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1135,Wharton MCM Soft Ceramic - Tree Bark Bamboo Weave,"Ready to elevate your project? Wharton MCM Tree Bark Bamboo Weave combines eco-friendly MCM flexible cladding with organic bark-weave texture. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. A natural choice for eco-resorts, spas, and biophilic interiors.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1135.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1136,Wharton MCM Soft Ceramic - HQ Printed Travertine,"Wharton MCM HQ Printed Travertine — Engineered MCM flexible wall cladding, 600x300mm 1200x600mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV-resistant. High-definition printed travertine pattern for premium facades and interior feature walls. ISO 9001 factory-direct supply. Inquire for wholesale container pricing.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1136.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1137,Wharton MCM Soft Ceramic - Printed Flat Mold,"Transform your space with Wharton MCM Printed Flat Mold — where precision-molded texture meets modern luxury. The Printed Flat Mold finish delivers impeccable surface consistency with subtle depth, creating a refined canvas for contemporary feature walls and architectural facades. For designers who demand flawless uniformity.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1137.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1138,Wharton MCM Soft Ceramic - Printed Corrugated,"Ready to elevate your project? Wharton MCM Printed Corrugated combines eco-friendly MCM flexible cladding with striking corrugated aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. A bold choice for retail, creative workspaces, and statement facades.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1138.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1139,Wharton MCM Soft Ceramic - Printed Travertine 2024,"Wharton MCM Printed Travertine 2024 — Engineered MCM flexible wall cladding, 600x300mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV-resistant. New 2024-generation printed travertine pattern with enhanced realism for modern facades and luxury interior cladding. ISO 9001 factory-direct wholesale supply.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1139.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1140,Wharton MCM Soft Ceramic - Printed Line Pattern,"Transform your space with Wharton MCM Printed Line Pattern — where rhythmic geometry meets modern luxury. The Printed Line Pattern finish creates a mesmerizing linear rhythm across any wall surface, adding architectural depth and visual flow. For designers who orchestrate space through pattern and proportion.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1140.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1141,Wharton MCM Soft Ceramic - Printed Vein Stone,"Ready to elevate your project? Wharton MCM Printed Vein Stone combines eco-friendly MCM flexible stone cladding with natural vein-stone aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. MOQ available — perfect for luxury residential and hospitality projects.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1141.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1142,Wharton MCM Soft Ceramic - Printed Granite,"Wharton MCM Printed Granite — Engineered MCM flexible wall cladding, 600x300mm 1200x600mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV and frost resistant. High-fidelity printed granite pattern for durable exterior facades and interior feature walls. ISO 9001 certified factory supply. Wholesale pricing on request.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1142.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1143,Wharton MCM Soft Ceramic - Diagonally Sawn Wood,"Transform your space with Wharton MCM Diagonally Sawn Wood — where angled wood grain meets modern luxury. The Diagonally Sawn Wood finish creates dynamic directional energy across any wall surface, adding movement and sophistication to feature walls, ceilings, and retail interiors. For architects and designers who think in angles.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1143.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1144,Wharton MCM Soft Ceramic - Artistic Slate,"Ready to elevate your project? Wharton MCM Artistic Slate combines eco-friendly MCM flexible stone cladding with artisanal slate aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. A curated choice for design-forward residential and commercial interiors.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1144.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1145,Wharton MCM Soft Ceramic - Inorganic Travertine,"Wharton MCM Inorganic Travertine — Engineered MCM flexible wall cladding, 600x300mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV-resistant. Inorganic travertine texture with zero organic content for enhanced durability in extreme climates. ISO 9001 factory-direct supply. Volume pricing available.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1145.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1146,Wharton MCM Soft Ceramic - Raw Stone Red,"Transform your space with Wharton MCM Raw Stone Red — where fiery natural stone meets modern luxury. The Raw Stone Red finish brings warmth, passion, and geological drama to any feature wall or facade. A bold, elemental choice for designers who command attention through color and texture.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1146.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1147,Wharton MCM Soft Ceramic - Roman Column Grey,"Ready to elevate your project? Wharton MCM Roman Column Grey combines eco-friendly MCM flexible stone cladding with classical column-stone aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. A timeless choice for neoclassical and contemporary facades.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1147.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1150,Wharton MCM Soft Ceramic - Antique Copper New,"Wharton MCM Antique Copper New — Engineered MCM flexible wall cladding, 600x300mm 1200x600mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV-resistant. Aged copper patina aesthetic for luxury feature walls, retail interiors, and statement facades. ISO 9001 certified factory-direct supply. Wholesale pricing upon inquiry.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1150.jpg,45.00 USD,in stock,new,559,Wharton
